"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Products","1","0","Test Case 8: Verify All Products and product detail page","0"
"0","","0","Scroll","1","0","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","0"
"0","","0","Products","1","0","Test Case 9: Search Product","0"
"0","","0","Login","1","0","Test Case 3: Login User with incorrect email and password","0"
"0","","0","Cart","1","0","Test Case 13: Verify Product quantity in Cart","0"
"0","","0","Products","1","0","Test Case 21: Add review on product","0"
"0","","0","Contact Us","1","0","Test Case 6: Contact Us Form","0"
"0","","0","Cart","1","0","Test Case 12: Add Products in Cart","0"
"0","","0","Cart","1","0","Test Case 11: Verify Subscription in Cart page","0"
"0","","0","Products","1","0","Test Case 18: View Category Products","0"
