"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4853","test_add_products_to_cart","tests","Wed Dec 03 14:59:04 UTC 2025","passed","Wed Dec 03 14:59:09 UTC 2025","","test_cart","",""
"","1089","test_add_review","tests","Wed Dec 03 14:59:14 UTC 2025","passed","Wed Dec 03 14:59:15 UTC 2025","","test_products","",""
"","2473","test_product_quantity_in_cart","tests","Wed Dec 03 14:58:58 UTC 2025","passed","Wed Dec 03 14:59:01 UTC 2025","","test_cart","",""
"","3120","test_contact_us_form","tests","Wed Dec 03 14:59:08 UTC 2025","passed","Wed Dec 03 14:59:11 UTC 2025","","test_contact_us","",""
"","2058","test_login_incorrect","tests","Wed Dec 03 14:59:03 UTC 2025","passed","Wed Dec 03 14:59:05 UTC 2025","","test_login","",""
"","2087","test_view_category_products","tests","Wed Dec 03 14:59:11 UTC 2025","passed","Wed Dec 03 14:59:13 UTC 2025","","test_products","",""
"","2111","test_search_product","tests","Wed Dec 03 14:59:05 UTC 2025","passed","Wed Dec 03 14:59:08 UTC 2025","","test_products","",""
"","2116","test_subscription_in_cart","tests","Wed Dec 03 14:58:55 UTC 2025","passed","Wed Dec 03 14:58:57 UTC 2025","","test_cart","",""
"","795","test_scroll_up_and_down","tests","Wed Dec 03 14:58:56 UTC 2025","passed","Wed Dec 03 14:58:57 UTC 2025","","test_home","",""
"","1739","test_products_and_details","tests","Wed Dec 03 14:58:57 UTC 2025","passed","Wed Dec 03 14:58:59 UTC 2025","","test_products","",""
